Inverness-shire,1344,Ben Nevis,Scotland,
Aberdeenshire,1309,Ben Macdhui,Scotland,
Banffshire,1309,Ben Macdhui,Scotland,
Perthshire,1214,Ben Lawers,Scotland,
Ross and Cromarty,1183,Carn Eige,Scotland,
Argyll,1150,Bidean nam Bian,Scotland,
Gwynedd,1085,Snowdon,Wales,
Angus,1068,Glas Maol,Scotland,
Conwy,1064,Carnedd Llewelyn,Wales,Yes
Sutherland,998,Ben More Assynt,Scotland,
Cumbria,978,Scafell Pike,England,
Stirlingshire,974,Ben Lomond,Scotland,Yes
Dunbartonshire,943,Ben Vorlich,Scotland,
Powys,886,Pen y Fan,Wales,Yes
Bute,874,Goatfell,Scotland,
Kirkcudbrightshire,843,Merrick,Scotland,Yes
Peeblesshire,840,Broad Law,Scotland,
Selkirkshire,840,Broad Law,Scotland,
Denbighshire,830,Cadair Berwyn,Wales,Yes
Dumfriesshire,821,White Coomb,Scotland,
Northumberland,815,The Cheviot,England,
Wrexham,790,Craig Berwyn,Wales,Yes
Durham,788,Mickle Fell,England,
Ayrshire,782,Kirriereoch Hill shoulder,Scotland,
Carmarthenshire,781,Fan Foel,Wales,
Kincardineshire,778,Mount Battock,Scotland,
Ceredigion,752,Plynlimon,Wales,
Lanarkshire,748,Culter Fell,Scotland,
Roxburghshire,743,Cairn Hill West Top (Hangingstone Hill),Scotland,
North Yorkshire,736,Whernside,England,
Clackmannanshire,721,Ben Cleuch,Scotland,
Moray,710,Carn a' Ghille Chearr,Scotland,
Caithness,706,Morven,Scotland,
Herefordshire,703,Black Mountain,England,
Monmouthshire,679,Chwarel y Fan,Wales,
Nairnshire,659,Carn Glas-choire,Scotland,
Midlothian,651,Blackhope Scar,Scotland,
Derbyshire,636,Kinder Scout,England,
Lancashire,628,Gragareth,England,
Devon,621,High Willhays,England,
Neath Port Talbot,600,Craig y Llyn,Wales,Yes
Rhondda Cynon Taff,595,Craig y Llyn,Wales,Yes
West Yorkshire,582,Black Hill,England,
Blaenau Gwent,581,Coity Mountain,Wales,
Torfaen,581,Coity Mountain,Wales,
Bridgend,568,Mynydd Llangeinwyr,Wales,Yes
Cheshire,559,Shining Tor,England,
Flintshire,554,Moel Famau,Wales,
South Yorkshire,548,High Stones,England,
Greater Manchester,542,Black Chew Head,England,
Shropshire,540,Brown Clee Hill,England,
Pembrokeshire,536,Foel Cwmcerwyn,Wales,
East Lothian,535,Meikle Says Law,Scotland,
Caerphilly,535,Twyn Pwll Morlais,Wales,
Berwickshire,532,Meikle Says Law shoulder,Scotland,
Fife,522,West Lomond,Scotland,
Renfrewshire,522,Hill of Stake,Scotland,Yes
Staffordshire,520,Cheeks Point on Cheeks Hill[4],England,
Somerset,519,Dunkery Beacon,England,
Merthyr Tydfil,515,Waun Llysiog,Wales,
Kinross-shire,497,Innerdouny Hill,Scotland,
Orkney,481,Ward Hill,Scotland,
Shetland,450,Ronas Hill,Scotland,
Worcestershire,425,Worcestershire Beacon,England,
Cornwall,420,Brown Willy,England,
Swansea,374,Mynydd y Betws,Wales,
Gloucestershire,330,Cleeve Hill,England,Yes
Wigtownshire,322,Craigairie Fell,Scotland,Yes
West Lothian,312,Cairnpapple Hill (South Top),Scotland,
Newport,309,Wentwood,Wales,Yes
Cardiff,307,Garth Hill,Wales,Yes
Berkshire,297,Walbury Hill,England,
Surrey,295,Leith Hill,England,
Wiltshire,294,Milk Hill,England,Yes
Hampshire,286,Pilot Hill,England,
West Sussex,280,Black Down,England,
Dorset,279,Lewesdon Hill,England,
Leicestershire,278,Bardon Hill,England,
West Midlands,269,Turners Hill,England,
Buckinghamshire,267,Haddington Hill,England,Yes
Oxfordshire,261,Whitehorse Hill,England,Yes
Warwickshire,261,Ebrington Hill,England,
Tyne and Wear,259,Currock Hill,England,
Kent,251,Betsom's Hill,England,
East Sussex,248,Ditchling Beacon,England,
East Riding of Yorkshire,246,Bishop Wilton Wold,England,
Greater London,245,NE shoulder of Westerham Heights,England,
Hertfordshire,244,NE shoulder of Pavis Wood,England,
Bedfordshire,243,Dunstable Downs,England,
Isle of Wight,241,St Boniface Down,England,
Northamptonshire,225,"Arbury Hill, Big Hill",England,
Isle of Anglesey,220,Holyhead Mountain,Wales,Yes
Nottinghamshire,205,Newtonwood Lane,England,
Rutland,197,Cold Overton Park,England,
Merseyside,179,Billinge Hill,England,
Lincolnshire,168,Normanby le Wold Top,England,
Bristol,160,east of Dundry Hill,England,
Essex,147,Chrishall Common,England,
Cambridgeshire,146,Great Chishill,England,
Vale of Glamorgan,137,Pantylladron,Wales,Yes
Suffolk,128,Great Wood Hill,England,
Norfolk,103,Beacon Hill,England,
City of London,22,High Holborn,England,
